index,title,certificate,runtime,genre,desc,rating,votes
5772,Kakababur Protyaborton,U,136 min,"Action, Adventure, Crime            ","Scrooge McDuck teaches Huey, Dewey and Louie the basics about money & its history, economics and investing.",6.7,401
5773,Durgeshgorer Guptodhon,U,133 min,"Adventure, Comedy, Drama            ","Mukunda, a careless youngster, makes it a part of his daily routine to fight for his friend Arjun who often gets into trouble. One day, he gets into a fight with the chief of his village and competes in elections against him.",5.6,517
5774,Naukar Biwi Ka,U,null,"Action, Drama, Comedy            ",An intelligent youngster is faced with a situation to win in the state legislative assembly elections in order to win the approval of his father-in-law.,5.3,324
5775,Videsh,null,132 min,"Action, Crime, Drama            ","Although India obtained freedom from the British in 1947, Goa and its territories are still ruled by the Portuguese. A group of revolutionaries want a free Goa and are thus wanted by the ...                See full summary »",5.8,353
5776,California Typewriter,null,103 min,Documentary            ,"Young Laali is optimistic about life; courage and compassion are her strengths when it comes to rescuing her family from hunger and poverty, as she shoulders this responsibility with her father.",6.2,28
5777,Mogudu,UA,159 min,Drama            ,"Pran and Gopal fall in love with village girls while on a holiday. After returning home, Gopal continues to flirt with other girls. But Pran realizes that he has truly fallen in love.",7.3,668
5778,Thiruda Thiruda,null,140 min,"Action, Crime, Drama            ","In a remote village in Southern India, Pedro, an outcast and a drunk, accidentally kills a cow and sets off a revelatory chain of events that pit him against the entire community.",7.5,34
5779,Kapurush,U,70 min,"Drama, Romance            ","Captain Ajit Singh watch helplessly as his 3 friends Balbira, Bablu and inspector Shyam Kalan gang rape his wife and then mercilessly kill her. He then vows to avenge this by locating and ...                See full summary »",6.8,26
5780,Em Magan,null,154 min,"Drama, Romance            ","Jhonny is often fooled by villagers as he is fit for nothing. He is in love with Maria but is often targeted by her brothers. Then enters Sam, who will be like a Samaritain to Jhonny's family.",4.2,831
5781,Anmol,null,163 min,"Drama, Family, Romance            ",The drama is set in UP where rigid caste system and tradition prevail.,6.6,19
5782,Holy Faak,18,null,"Comedy, Romance            ","When Jagan meets Radha, it is love at first sight for him. But finding his happily-ever-after is harder than it seems.",4.7,258
5783,Josef - Born in Grace,U,100 min,Drama            ,"When all the hard but crookedly planned attempts to succeed in life hilariously fails, Davis ventures to arranged marriage plan with one tag line - ""no dowry asked but get me a visa to ...                See full summary »",7.1,24
5784,Judaa Hoke Bhi,A,121 min,"Horror, Thriller            ",Add a Plot,5.2,31
5785,Bodh,null,null,Mystery            ,"Gautham, a man with special needs, comes to Pondicherry. Hema, a carefree woman, befriends him and with the help of her father, who is a psychologist, unravels his horrific past life.",6.6,"1,297"
5786,Muqaddar Ka Sikandar,U,189 min,"Drama, Romance            ","Bhagvathi, a tea vendor, has big dreams for his younger brother, Guna. However, Guna gets killed by his girlfriend's father, who is unaware that his daughter is pregnant.",5.7,"1,505"
5787,SSMB 28,null,null,"Action, Drama            ",The Tamil version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. Also simultaneously made in Hindi as Tutak Tutak Tutiya (2016) and in Telugu as Abhinetri (2016),6.2,"1,041"
5788,Posti,UA,126 min,"Comedy, Drama            ",A person who is unable to recollect his past decides to find the details about him and this leads him to some thrilling truth.,8.1,"1,766"
5789,Laiye Je Yaarian,UA,117 min,Romance            ,"A poor man wants his daughter to be happy, no matter what comes through.",7.9,"1,020"
5790,Maadathy,A,90 min,"Drama, Mystery            ","'SURAAG the clue' is a popular crime TV serial and Inspector Bharat (Sudesh Berry) the young and dynamic CID Officer with his sixth sense and the ability to think out of the box, gets all ...                See full summary »",8.8,242
5791,Uppi 2,UA,135 min,"Action, Mystery, Thriller            ","Maharana Pratap's clashes with Akbar and Man Singh I, which caused the battle of Haldighati.",5.4,136
5792,Induvadana,UA,125 min,Romance            ,"Two womanizing slackers, Omi and Jai (Rakesh Bedi and Ravi Baswani respectively) attempt to woo the new girl in the neighbourhood, and fail - miserably. Their third room-mate, shy, and a ...                See full summary »",7.9,"2,531"
5793,180,U,121 min,"Drama, Romance            ","The series revolves around Rishta.com, a marriage portal run by four friends - Rohan Mehra, Isha Mirchandani, Huzeifa and Ruchika. Each episode sees them manage a fresh client's matrimonial alliance, as well as their own problems.",8.6,503
5794,Salaakhen,null,165 min,"Action, Drama            ","Naik family consists of Anna his wife 3 sons and a widowed daughter his sons Dattaram,Abhiram and daughter Chhaya stay with him in the village his elder son Mahadav his settled with his ...                See full summary »",8.3,110
5795,Bulbule,null,95 min,Thriller            ,"22-year-old Parvathy is a free-spirited girl who loves to live life on her terms. However, when she is left with no option but to tie the knot with a man of her parents' choice, her life ...                See full summary »",6.8,135
5796,24 Kisses,null,140 min,Romance            ,"In the midst of a loud Punjabi wedding, a boy sneaks his dad's fancy new car to impress the college hottie and all hell breaks loose when he loses it.",6.4,"4,837"
5797,Gali Gali Chor Hai,null,109 min,"Comedy, Drama            ","Rishidev, an ACP of the Narcotics Control Bureau meets with an accident and loses his memory. Meanwhile, a person named Haran comes to the forefront for running a drug racket. Things take ...                See full summary »",8.6,"2,050"
5798,Dheena,null,167 min,"Action, Drama            ",She was forced into prostitution. She is considered less than human. She is full of anger. Now she recounts her brutal life story to a documentary filmmaker.,6.9,29
5799,Topless,A,112 min,"Drama, Romance            ",The love between a mahout and an elephant.,7.1,"1,472"
5800,Black Rose,null,null,Thriller            ,Dolly is a con woman who marries unsuspecting men and on the wedding night runs away with their money. On the case is a police officer and two disgruntled grooms.,4.5,"3,137"
5801,Googly Gumm Hai,null,77 min,"Romance, Thriller            ","Salman Khan Also Has An Important Cameo In One The Scene's. While leaving the space Salman comes to pick her up to take her back. Later on this scene was removed as the director said ""Salman Didn't Act Well""",5.5,"2,150"
5802,Kaksparsh,UA,140 min,"Drama, Family, History            ","Childless Malti is married to a honest man, Kailash Nath, who one day brings home a newborn baby boy and asks her to take care of him. Malti names the boy Ashok, and brings him up as her ...                See full summary »",6.5,87
5803,Bachchan,null,141 min,"Action, Comedy, Drama            ","Thakur Jaswant Singh rules over the region with a iron hand. He has no pity or empathy for the poor, all he is interested in is their money, their women, and alcohol. After the passing away...                See full summary »",5.2,187
5804,Karamati Coat,null,86 min,"Comedy, Family, Fantasy            ","Jeeva goes through 3 different stages of life - from school, to college and career. It talks about the views of youth on love. The story underlines the importance of not giving up hope after a break-up.",5.1,798
5805,Marathi Movie GOTT (Clan),null,99 min,Drama            ,A truck driver learns from his foster mother about the murder of his parents at the hands of a bandit and sets out to avenge them.,7.6,334
5806,Jai Santoshi Maa,U,null,"Drama, Family            ","Babu is a naive young man who likes to go out of his way to help people. He has fallen in love with Kammo, but in the process of helping another, he lands himself in jail for two years. ...                See full summary »",7.2,90
5807,Qismat 3,null,null,Romance            ,"Believing his wife to be dead, a man lets a woman, who has lost her child, nurse and bring up his infant son - until he finds out that his wife is still alive, and wants the baby back at any cost.",5.9,148
5808,Amanush,U,153 min,"Drama, Family            ","Three cousins, Arjun, Divya and Kannan, relocate to Bangalore where they face challenges that transform their lives.",5.7,538
5809,Mappillai,null,160 min,"Action, Comedy            ",A lawyer rethinks his life after he works with an NGO.,6.2,220
5810,Ganashatru,null,99 min,Drama            ,Vijeta (The Victor) is the coming of age story of Angad (Kunal Kapoor). Confused like any other teenager trying to find himself and caught in between the marital problems of his mother ...                See full summary »,7.7,309
5811,Dashavatar,null,119 min,"Animation, Family            ","When a doctor claims that his wife has gone missing, but can only produce a single photo of her, a police inspector begins unearthing secrets that shock the surrounding misty hill town of India.",6.8,904
5812,Nabab Nandini,UA,120 min,"Comedy, Romance            ","Desperate for money, three men plot to kidnap a woman and hold her for ransom.",6,"1,702"
5813,Mukhyamantri,UA,117 min,Drama            ,"Chaiti is a young beautiful woman and wife of newspaper editor Bikramjit. Bikramjit is a workaholic and always stay busy with his editorial works. In spite of being a highly educated woman,...                See full summary »",5.4,138
5814,Sirf Tum,UA 13+,20 min,Drama            ,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be.",8.3,"6,699"
5815,Puriyaadha Pudhir,U,122 min,Thriller            ,An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.,5.2,"12,454"
5816,Dance India Dance,U,null,"Music, Reality-TV            ","When evil takes over the world, Lord Vishnu incarnates into the world as Shri Krishna for the protection of the righteous and the destruction of the wicked.",8.6,"1,864"
5817,Aalas Motaapa Ghabraahat,null,52 min,Comedy            ,"When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",6.3,"7,097"
5818,Pari,null,null,Thriller            ,"Hum Tum And Them is the story of two single parents Shiva and Yudi, who have a second chance at love. Their teenage children try to deal with their past and their new lives, while Shiva and Yudi struggle to maintain their relationships.",6.9,"1,647"
5819,Madhuri Talkies,null,null,Romance            ,"Mitwaa is a love triangle starring Swapnil Joshi as Shivam, Sonalee Kulkarni as Nandini and Prarthana Behere as Avani.",6.3,194
5820,Priyamana Thozhi,null,149 min,"Musical, Drama, Romance            ","Vidhi Sharma, a young woman, falls in love with Devvrat Raichand, a middle-aged tycoon. Together they embark on a journey of love and acceptance beyond the barrier of age.",8.2,92
5821,Jhooth Bole Kauwa Kaate,null,148 min,"Comedy, Romance            ",Add a Plot,7.3,36
5822,Cheppalani Vundhi,null,145 min,Romance            ,"The battle of fame sees many an emotion - love, hate, drama, sensational fights and the fire to win - all of which you can expect in MX TakaTak Fame House Season 1. This unique reality ...                See full summary »",4.5,744
5823,Kalubaichya Naavan Changbhala,null,152 min,Drama            ,Shruti [child artiste Hansika Motwani] is the 10-year-old daughter of Shrikant [Sanjay Kapoor] and Shraddha [Raveena Tandon]. She travels to her school by the local train every morning. One...                See full summary »,6.6,176
5824,Citizen,null,172 min,"Action, Drama, Mystery            ","A group of friends traveling in a dense forest accidentally meet two strangers, who they think are the killers. Things get complicated when they get caught by real killers.",3.7,329
5825,Yaari Jatt Di,null,null,Action            ,Add a Plot,7.2,15
5826,Crime Next Door,18,null,"Crime, Thriller            ","A protective father starts digging deeper into the past of his daughter's possessive, unpredictable and violent boyfriend.",4.7,"1,095"
5827,Navya: Naye Dhadkan Naye Sawaal,PG,null,"Drama, Romance            ",Raju is hired to pose as uncle to three orphaned kids in order to usurp their inheritance. But he changes his mind after falling in love with their governess and decides to fight the greedy relatives.,5.1,"2,073"
5828,Keymon Ache,null,null,Animation            ,An uneducated fisherman wants his daughter to be educated and become a doctor but his dreams get shattered when she falls in love with her childhood friend.,8.4,"3,149"
5829,Love at Times Square,null,120 min,"Drama, Romance            ",Add a Plot,4.2,95
5830,Gayatri,UA,125 min,"Drama, Family            ","Ramachandra and Janaki meet up 20 years after graduating high school, class of 1999, at a reunion party.",6.3,464
5831,Pornomochi,A,117 min,"Crime, Drama            ","Six talented but luckless individuals, some wasting life in dreams of fast, easy life inherit a1000-crore empire 120% in debt, from an eccentric, senile billionaire, changing their lives.",2.9,608
5832,Jaane Kahan Se Aayi Hai,null,94 min,"Comedy, Drama, Fantasy            ","When Wendy Darling and her brothers John and Michael are whisked away to Neverland by the strange and cheeky Peter Pan, Wendy can't believe their childhood stories are coming true! Next ...                See full summary »",4.4,119
5833,Gundaraj,null,140 min,"Action, Drama            ","The families of Boologam and Arumugam, two boxers, have been rivals for many years. Deepak, a businessman, decides to use this rivalry for his personal gain.",5.7,827
5834,Crime Stories: Khoj Apradhi Ki,null,14 min,"Crime, Game-Show, Thriller            ",Honest police officer Surajbhan would like Rajeshwar Nath to provide all the material documents that can prove Raiszada Narsingh is a hardcore criminal. When Raiszada learns of this through...                See full summary »,5.5,165
5835,Mumbai Central,null,100 min,Family            ,"Shirshendu Mukhopadhyay's famous tale of 3 generations of women and their changing position in society, seen in relation to a box of jewels, handed down from one generation to the next.",7.1,"1,576"
5836,Ha Khel Savlyancha,null,136 min,Drama            ,A rich Daulatrao Patil and poor Sada Sarbatwala are best friends when Balasaheb a corrupt politician tries to target Daulatrao in a election rally Sada manages to catch the culprits.Sada ...                See full summary »,7.6,10
5837,Santhosh Subramaniyam,UA,177 min,"Comedy, Romance            ",A Child asks a person about his first love and the story is this melodious track.,9,312
5838,Saajan Ki Saheli,U,null,"Family, Drama            ","Kuttan Pillai lives with his wife in a rural village and has an obsession with the jack fruit tree in his yard. During the Shivaratri festival, something strange happens that forms the main story.",6.5,565
5839,Brij Mohan Amar Rahe,16,105 min,"Comedy, Crime, Drama            ","Bombay City lives in fear of a notorious thief who calls himself Chindi Chor, and steals whenever and whatever he desires without any regard to security, and police protection. When Ghoshal...                See full summary »",4.6,940
5840,Prema Kavali,null,166 min,Romance            ,"A poor young man gets employed by a rich man admiring his honesty. But when he gets suspected in a lady's murder case, he need to prove his innocence.",7.6,855
5841,Bepanah Pyarr,13,22 min,Romance            ,"A evil man kills young women after having romantic affair with them. By knowing it, four friends get him arrested and electrocuted for death sentence. But his soul returns and starts taking revenge on them and their family one by one.",5.1,55
5842,Anaarkali,null,25 min,"Short, Drama            ","In order to save her grandfather's mansion, Rama agrees to marry a much older male, Madanlal, who decides to sell some artifacts to prospective wealthy buyers, including Mr. and Mrs. Rai. ...                See full summary »",7.6,114
5843,Kuch Naa Kaho,U,169 min,"Comedy, Drama, Romance            ",Suraj has been a slacker all his adult life. He hates any kind of work - rather it's paying or volunteer. One day he gate-crashes a wedding ceremony and finds out that the groom is to live ...                See full summary »,6.5,153
5844,Shakespeare-Wallah,null,120 min,"Drama, Romance            ","Bitter animosity and hatred has existed between the communities of Jangavar and Dilavar. While Dilavar's Roshan wants to bring peace between everyone, he sets an example by marrying Chandni...                See full summary »",6,71
5845,Rhapsodies of A Sexaholic,null,100 min,Drama            ,"ACP Ravindra Varma, a fearless and sincere police officer, is called to nab terrorist Milind Shinde, who has political backing.",2.4,375
5846,Sancharram,null,107 min,"Drama, Romance            ",Impostor with heart of gold wins over an ailing matriarch posing as her long separated grandson.,6.3,52
5847,Hero of Nation Chandra Shekhar Azad,null,null,Biography            ,"A pawn, a target, or the culprit - what is Dr. Kiyana's ultimate truth?",5.6,199
5848,Thithi,UA,123 min,Drama            ,"Priya and Gautam are a happily married couple with two kids, Akul and Mithi. Everything goes wrong when Priya and Gautam become friends with Manisha. Manisha has fallen in love with Gautam....                See full summary »",7.3,47
5849,Kabhi Yaadon Me Aau Kabhi Khwabon Mein Aau,null,null,"Short, Romance            ","Maradona, a young man, due to some dangerous situations, moves out of his hometown and reaches Bangalore to stay with his distant relatives. However, during his stay there, his situation worsens further.",6.3,692
5850,Bad Boy,null,null,"Comedy, Romance            ","Nek gets married to the girl of his dreams, Kammo, and has a son. Later, he finds out that the child isn't his but Joginder's, who had raped Kammo.",8.5,81
5851,Kabzaa,U,143 min,"Action, Crime, Drama            ","A farmer moves to the city with his wife and kids, he gets together with another man and runs a faction of gangsters. Years later, he becomes so unrivaled, that his opposition plans to execute him to get him out of their way.",4.5,845
5852,Rakhwala,U,null,"Action, Musical, Thriller            ","When Santhosh learns that his ex-girlfriend is getting married, he decides to get a reprisal by pushing an escort Saranya into a locked newly built space called Manhattan. Will she survive without water, food and electricity?",5.2,11
5853,Dil Maange More!!!,U,123 min,"Musical, Romance            ",A sports documentary series that follows the journey of Bollywood star Abhishek Bachchan owned Kabaddi team - Jaipur Pink Panthers in their attempt to reclaim the champion's trophy of India's Pro Kabaddi League 2018-19.,7.5,275
5854,Police Diary 2.0,A,30 min,Drama            ,A rich young man woos a proud girl against her father's wishes.,6.9,545
5855,Fear Files: Darr Ki Sachchi Tasveerein,UA,null,Horror            ,"After completing college, dark-skinned Adivasi Shekhar returns home to find that his mother Savli has passed away. Distraught, he is consoled by Father Abraham, who also tells him that his ...                See full summary »",7.2,90
5856,Saugandh,U,153 min,"Action, Drama, Romance            ","Laajo, a simple girl from a village becomes the third wheel in her own marriage, when her husband Nikhil can't get over his lover Ishana.",8.8,16
5857,Nayika Devi - The Warrior Queen,UA,122 min,"Biography, Drama, History            ",Add a Plot,8.4,48
5858,Vaahlam Jaao Ne,U,132 min,Romance            ,"Proud, wealthy, and haughty Kiran meets with down-to-earth middle-class fellow collegian, Shekhar, and after several clashes and misunderstandings, both fall in love and decide to get ...                See full summary »",6.5,87
5859,Lift,UA 16+,134 min,"Drama, Horror, Mystery            ","Boy meets girl, boy loses girl, boy gets girl.",5.9,693
5860,Shiddat,null,3 min,"Short, Romance            ","Major Ajit is sent to nab ex-Army officer Colonel Sodhi, who is hiding in the guise of Devraj Hathoda.",5.4,669
5861,Maari,U,138 min,"Action, Comedy, Drama            ","Chaitra needs to return to her hometown as PM has announced national lockdown. Raju, a bike mechanic and her friend, agrees to take her. Meanwhile a little girl is kidnapped. Will Chaitra ...                See full summary »",8.6,"1,846"
5862,Kacher Manush,U,135 min,Drama            ,We only know the end of the story...and that's just the beginning.,7.9,379
5863,Deiva Thirumagal,null,162 min,Drama            ,"Film is Based on Duvidha by Vijayadan Detha, it's about merchant's son, whose relationship with his young bride, Lachhi is thwarted by his work and a ghost who falls in love with her, resulting in the ghost soon impersonating the husband.",7,749
5864,Annakodi,null,null,Drama            ,"A cinematic version of the life of famous Indian saint-poet, Annamayya.",8,"1,808"
5865,Tor Naam,UA,null,"Drama, Romance            ",A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,7.6,"1,772"
5866,Swathanthryam Ardharathriyil,UA,138 min,"Action, Crime, Thriller            ","Leading lawyer and public prosecutor, Raghunath Tyagi, lives an upper middle- class life in India with his only son, Akash Manmohan. Raghunath would like his son to take an interest in law ...                See full summary »",5.7,117
5867,Cambala Investigation Agency,null,null,"Crime, Mystery, Thriller            ","Dara and Karan, the sons of two of the victims of dacoit Jogi Thakur, wait many years to exact their revenge. When the Thakur's colleague Raja Singh cheats him and runs away with his loot, ...                See full summary »",5.6,295
5868,Taani,null,null,Family            ,"Con-man and thief Sanju donates his loot and money to orphanages; his life changes when he crosses path with a notorious gangster, Jogia Seth who ended up owing him huge amount of money. In...                See full summary »",5.3,847
5869,Aelay,U,153 min,"Comedy, Drama            ","An Indian Tamil language version of the popular quiz show, ""Who Wants to be a Millionaire?"" Contestants start off with easy questions, but as they move forward the questions get more and ...                See full summary »",8.2,42
5870,Mokala Shwas,null,null,Family            ,Add a Plot,9.3,61
5871,Thillana Mohanambal,U,175 min,"Drama, Musical, Romance            ","Three man, who have lost faith in law and order, decide to fight for justice on their own terms.",6.1,50
5872,Khullam Khulla Pyaar Karen,U,142 min,Comedy            ,"A wealthy businessman's wife mysteriously disappears, and a team of investigating officers embark on a search for her. Will they be able to decipher what's going on?",4,188
5873,Dost,null,164 min,Drama            ,"The Chennai Sharks XI team goes to Theni for the marriage of their teammate Ragu, and get into a tiff with the local team that becomes a threat to the wedding.",6.9,"1,218"
5874,Takkar,UA,123 min,"Action, Drama, Romance            ","Tony works as a hit-man for gangster, Vikas Patil, who owes his allegiance to wealthy Raj Mallya. Raj Mallya is involved in marketing spurious and out-dated drugs, and as a result is the ...                See full summary »",4,509
5875,Chunkzz,U,121 min,Comedy            ,"In this movie humanity has been portrayed in a moral and superior manner, and climax will keep the audience on the edge and curious. One should not think defeated till the last breathe ...                See full summary »",7.2,142
5876,Naach,A,150 min,"Drama, Musical, Romance            ",A devout Hindu priest's son sees his father murdered and his mother and sister burned alive. He becomes an atheist and vows to avenge his family's murders at the hands of an evil landowner and smuggler.,5.4,404
5877,Noblemen,A,108 min,Drama            ,Vikas and Aarti's happy life is ruined by a gruesome incident causing a psychological distance between them. Will they be able to overcome the stigma and rekindle their love?,7.1,220
5878,Higuita,null,null,Drama            ,Usal Misal is marathi webseries. story of girl trapped and blackmailed by her boyfriend.,9,7
5879,Jamai 420,A,138 min,"Comedy, Romance            ",Two college friends find themselves on the opposite side of the law when they reunite.,4.6,"1,091"
5880,Sikander,null,105 min,"Action, Crime, Drama            ",Misunderstandings arise between Akbar and his son Salim when he disapproves his son's love.,7.2,88
5881,Jab Jab Phool Khile,U,141 min,"Musical, Romance            ","On the day of his girlfriend's marriage, Gautam gets kidnapped by an unknown criminal. Bored on the way to the kidnapper's den, Gautam is forced to narrate his cute love story which is filled with loads of twists and turns.",7.7,"2,815"
5882,ToddWorld,null,22 min,"Animation, Family            ",The movie chronicles the arrival of a (Hindu) student to a strict all-boys Christian boarding school in India and his assimilation into the school. The change is quite dramatic to the ...                See full summary »,7.4,"1,415"
5883,Pannam Pathinonnum Seyum,null,96 min,Drama            ,An intense love saga of detestation transforming into endearment .,7,17
5884,Deh Sukh 2,18,22 min,"Short, Romance            ",A doctor sets out to find his biological father.,5.2,352
5885,Witness,null,108 min,Crime            ,"The story revolves around, Jayanta, who hails from a poor family. He was brought up by his Musician teacher a village musician and widowed sister in law. Tapas's brilliant voice earns him ...                See full summary »",6.6,110
5886,Megha,U,157 min,"Romance, Thriller            ",Gowtham (Harsha Narra) and Sruthi (Nikkesha) are a newly married couple. One night they meet with an accident and Sruthi is missing ever since. Gowtham's search for Sruthi with the help of his friends and Meena (Misha Narang) is the story.,8.8,"1,645"
5887,Samadhi,U,139 min,"Action, Drama, Romance            ","Photographer Neela and artist Manu share a unique association - their relationship is the only bright spot in their lives and one that gives them hope. However, destiny has other ideas.",7.7,"1,100"
5888,Prem Aggan,UA,168 min,"Drama, Romance            ","Chandramohan keeps receiving calls from his wife asking for his whereabouts, much to his annoyance.",6,649
5889,Jaunpur,18,null,Action            ,"Naive village-born Swaroop comes to Bombay city with a only Rs.80/-, which he loses to a thief. A man named Bhagwaan helps Swaroop recover this amount, and asks him to return back to his ...                See full summary »",4.6,190
5890,Life of Josutty,null,166 min,Drama            ,A film producer named Romeo falls in love with a mysterious woman named Juliet.,4.2,79
5891,Maat Pitaah Ke Charnon Mein Swarg,null,20 min,Drama            ,"Suraj and Arun are brothers who share a special bond. Suraj, a jail warden and his wife Lakshmi have brought up Arun. Radha is an orphan from a wealthy family. Radha is set to marry Naresh,...                See full summary »",5.7,132
5892,Dhanbad Blues,A,60 min,Thriller            ,"The film is a metaphorical depiction of the turtle where in a drought struck village of Rajasthan, Sanjay Mishra (as Ramkaran Choudhary), is churning the parched, sun baked earth, to ...                See full summary »",8.1,113
5893,Khote Sikkay,null,132 min,"Action, Crime, Drama            ","15 celebrities, 1 bigg house and 100 days of unadulterated entertainment. Ready for the first Marathi edition of Bigg Boss? From high-octane fights to uncensored drama, Voot's got ...                See full summary »",5,33
5894,Murder Meri Jaan!,15+,15 min,"Action, Crime, Thriller            ","Akash (Rhehan Malliek) and Ishkq (Preity Zinta), two complete strangers, after having met on a train from Rome to Paris, end up spending the evening together in the romantic city.However, ...                See full summary »",3.8,810
5895,Torchlight,A,124 min,Drama            ,"Amidst bomb explosions, fake arrests, police brutality, and protests, a determined mechanic attempts to repair an antique truck to transport the last remains of Mahatma Gandhi in modern-day India.",7.4,834
5896,Idiot,U,139 min,"Action, Comedy, Romance            ","Two college boys from diverse backgrounds believe that since time is on their side, anything is possible. Consequently, their arrogance leads them to challenge each other to prove their efficiencies.",6.9,"2,899"
5897,Kshamisi Nimma Khaatheyalli Hanavilla,null,119 min,null,"Bombay-based wealthy Sagar leaves his disapproving father to get married to middle-classed Sarita, rents a flat, and drives a taxi for a living. Sarita longs to be rich, borrows ten ...                See full summary »",6.7,36
5898,Nachaniya,null,null,Drama            ,Sandra Williams lives in an isolated house with her kids Sarah and David.While her husband Frank being a army man is away from the house in the war zone. Sandra writes a letter to ...                See full summary »,3.6,357
5899,Lockdown,null,null,Reality-TV            ,An unhappily married couple find love in strange situations.,3.4,"3,237"
5900,Njandukalude Naattil Oridavela,U,131 min,"Comedy, Family, Romance            ","Titoo is an animated kids' comedy show that follows the daily escapades of eight-year-old boy Titoo. Though, he is a good-hearted, intelligent kid who loves to help everyone, but inadvertently manages to brew even more trouble.",6.9,10
5901,An Evening in Paris,U,168 min,"Musical, Romance, Thriller            ","Anukoni Prayanam, directed by Venkatesh Pediredla, featuring Rajendra Prasad and Narasimha Raju in the lead, tries to capture the ups and downs in life - looking at it from different perspectives.",7.8,"1,107"
5902,Zahreela,A,null,Action            ,"Four friends, Jaga, Ganesh, Ajay and Vishwas are motoring to a cricket game. An accident leads them to divert on a side road, where they encounter a criminal gang that has kidnapped a young girl and shot a policeman in front of them.",7.1,"1,461"
5903,GRADE,Not Rated,64 min,Drama            ,"A story about love, waiting, and loneliness.",7.9,"1,682"
5904,Nayae Peyae,U,122 min,Drama            ,"'Mi Punha Yein' is a satirical portrayal of the scramble for the political majority, abductions of MLAs, and power plays by political leaders.",8.8,31
5905,Sangee,UA,156 min,"Drama, Musical, Romance            ",Two playschool friends Bachchan and Gokhale meet almost after 70 years for a birthday party.,6.7,189
5906,Mrigja,null,null,"Comedy, Drama            ","A female had of the family is assumed to be dead but years later she returns back to her family creating havoc during marriage of her children,",8.6,18
5907,Dil Se Dil Tak,13,20 min,Drama            ,Add a Plot,5.9,34
5908,Abhijaan,U,160 min,Drama            ,A film comprising of 5 short stories by 5 directors. Each story is about a women.,6.9,"1,176"
5909,Chennaiyil Oru Naal,U,117 min,Thriller            ,"Shamsher Singh Rajput lives a poor lifestyle in British India along with his widowed mom, a sister, Asha, and makes a living through crime. He is in love with a gypsy dancer, Reshma, and ...                See full summary »",2.8,59
5910,Avtar Dharine Aavu Chu,UA,176 min,Drama            ,"The movie belongs to Bindu. Handsome , good looking Anil Dhawan takes employment under big boss Pradeep Kumar. Among his other duties, he also has to make his boss's daughter Neetu Singh ...                See full summary »",6,46
5911,A Scandall,A,112 min,Thriller            ,"Suhani is a well known psychiatrist in Nainital. One day, she was setup on a blind date with Tej, a successful businessman. And then, their complicated relationship starts.",9.6,27
5912,Tu Pyar Hai Kisi Aur Ka Heart Touching Love Story by nix record,null,null,"Short, Drama            ","Dev Gill is a tycoon who believes that he can buy the world with his money. He is smitten with Tanvi Verma, but she doesn't reciprocate his feelings. Dev gives Tanvi's father, Prem Chopra, ...                See full summary »",4.8,32
5913,Kaun? Who Did it?,Not Rated,17 min,"Crime, Game-Show            ",Guru Ji is a social reformer who works to help people fight against social evils.,6,"11,306"
5914,Baal Shiv,UA,null,Drama            ,"After the deaths of his wife Sheila and child Raja, Sagar takes to drinking as well as singing and dancing at weddings and special occasions. Intoxicated heavily after one such event, he ...                See full summary »",6.9,455
5915,Chhota Bheem Himalayan Adventure,UA,97 min,Animation            ,"Anjani has not forgotten how her son almost lost his life. Now to protect him, she shelters him in a bid to keep him from harming himself again. She doesn't even allow him to go out of the ...                See full summary »",5.1,198
5916,Kanamarayathu,null,130 min,"Drama, Romance            ",Three young man will try all possible ways to impress Dhanajirao Wakde to approve their marriages.,8,236
5917,Qahar,A,null,"Action, Crime, Drama            ",Chalte Chalte movie is a romantic action entertainer directed and music scored by Pradeep KK and while Srinivasa Rao Potluri produced this movie. Vishwadev .,8.7,60
5918,Ennodu Vilayadu,U,110 min,Thriller            ,"During the British Raj of the 1930s, a prison-doctor falls in love with a convict who eventually reveals the story of her past and her connection to a freedom fighter.",7.7,843
5919,Pagalpanti,UA,124 min,"Comedy, Drama            ","A wealthy, pampered and illiterate woman faces many challenges after her marriage.",6.7,122
5920,Pardesiya Yeh Sach Hai Piya,null,null,"Short, Romance            ","Story of a rural Government school headmistress, who saves the school from its decline and reforms the same by handling the hindrances from private school owners, Govt. officials, politicians and even her colleagues.",7.4,"1,840"
5921,Gully Rowdy,UA,143 min,Comedy            ,"Adithyan, the son of a dishonored thief who committed suicide, must fight all the odds and compete with Vikraman for the post of a police officer.",7,"3,194"
5922,Karn Sangini,12+,20 min,Drama            ,I lost my wife. Who is responsible?,8.9,872
5923,Gajakesari,null,165 min,"Action, Romance            ",A CBI officer goes in search of a ruthless serial killer. Things get worse when the murderer targets the former and her family.,7.3,"5,723"
5924,Sivalinga,UA,156 min,"Comedy, Horror, Mystery            ","Gila is a romantic techno thriller Film happening on an imaginary magical island called Gila. The protagonist is an IT professional, Unni who is survived by his jovial father' Mr. Narayanan...                See full summary »",9.6,578
